listing_date,year,mileage,transmission_type,color,avg_fuel_consumption,paint_changed,seller_type,price,heavy_damage
26 Eylül 2024,2017,125.000 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Galeriden,725.000 TL,No
05 Ekim 2024,2014,370.000 km,Düz,Bordo,4 lt,Belirtilmemiş,Sahibinden,350.000 TL,No
05 Ekim 2024,2018,82.570 km,Yarı Otomatik,Mavi,"3,8 lt",Tamamı orjinal,Sahibinden,815.000 TL,No
05 Ekim 2024,2012,247.600 km,Düz,Kırmızı,"4,5 lt",4 boyalı,Sahibinden,435.000 TL,No
05 Ekim 2024,2017,62.000 km,Düz,Füme,4 lt,Tamamı orjinal,Galeriden,800.000 TL,No
05 Ekim 2024,2017,72.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,793.000 TL,No
04 Ekim 2024,2017,65.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,795.000 TL,No
04 Ekim 2024,2015,98.000 km,Düz,Füme,4 lt,Tamamı orjinal,Galeriden,657.500 TL,No
04 Ekim 2024,2016,102.500 km,Düz,Mavi (metalik),4 lt,Tamamı orjinal,Sahibinden,665.000 TL,No
04 Ekim 2024,2014,168.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,598.000 TL,No
04 Ekim 2024,2013,170.000 km,Düz,Gri,5 lt,2 boyalı,Sahibinden,635.000 TL,No
04 Ekim 2024,2012,86.000 km,Düz,Gri,5 lt,Belirtilmemiş,Sahibinden,585.000 TL,No
04 Ekim 2024,2012,230.000 km,Düz,Füme,4 lt,Belirtilmemiş,Galeriden,379.950 TL,No
04 Ekim 2024,2013,111.500 km,Düz,Siyah,5 lt,"1 değişen, 2 boyalı",Sahibinden,580.000 TL,No
04 Ekim 2024,2015,125.000 km,Düz,Mavi,4 lt,2 boyalı,Galeriden,629.000 TL,No
04 Ekim 2024,2018,180.000 km,Yarı Otomatik,Kırmızı,"3,8 lt",Belirtilmemiş,Galeriden,680.000 TL,No
04 Ekim 2024,2015,64.000 km,Düz,Mavi (metalik),4 lt,"1 değişen, 2 boyalı",Galeriden,650.000 TL,No
03 Ekim 2024,2017,144.000 km,Yarı Otomatik,Kahverengi,"3,8 lt",Belirtilmemiş,Galeriden,748.500 TL,No
03 Ekim 2024,2014,56.000 km,Düz,Bordo,"4,5 lt",Tamamı orjinal,Galeriden,662.500 TL,No
03 Ekim 2024,2014,66.500 km,Düz,Gri (metalik),4 lt,Tamamı orjinal,Sahibinden,640.000 TL,No
03 Ekim 2024,2013,140.000 km,Düz,Mavi,5 lt,Belirtilmemiş,Sahibinden,530.000 TL,No
03 Ekim 2024,2014,278.000 km,Düz,Siyah,4 lt,Belirtilmemiş,Sahibinden,435.000 TL,No
03 Ekim 2024,2012,193.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Sahibinden,510.000 TL,No
03 Ekim 2024,2016,86.000 km,Düz,Kırmızı,4 lt,1 değişen,Sahibinden,655.000 TL,No
03 Ekim 2024,2016,90.000 km,Düz,Gri (Gümüş),4 lt,1 boyalı,Sahibinden,650.000 TL,No
03 Ekim 2024,2013,165.000 km,Düz,Siyah,5 lt,"1 değişen, 1 boyalı",Sahibinden,570.000 TL,No
03 Ekim 2024,2018,65.600 km,Otomatik,Gri,,"2 değişen, 1 boyalı",Galeriden,660.000 TL,No
03 Ekim 2024,2016,89.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,700.000 TL,No
03 Ekim 2024,2019,94.750 km,Düz,Mavi (metalik),4 lt,Belirtilmemiş,Galeriden,785.075 TL,No
03 Ekim 2024,2017,110.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,719.000 TL,No
03 Ekim 2024,2015,119.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,655.000 TL,No
02 Ekim 2024,2016,121.500 km,Düz,Gri,4 lt,4 boyalı,Sahibinden,625.000 TL,No
02 Ekim 2024,2012,215.000 km,Düz,Füme,5 lt,"1 değişen, 4 boyalı",Sahibinden,450.000 TL,No
