mileage,avg_fuel_consumption,price,age,mileage/age,transmission_type_Düz,transmission_type_Otomatik,transmission_type_Yarı Otomatik,changed,painted
125000,1,725000,7,17857,True,False,False,0,0
370000,1,350000,10,37000,True,False,False,1,2
82570,0,815000,6,13761,False,False,True,0,0
247600,2,435000,12,20633,True,False,False,0,4
62000,1,800000,7,8857,True,False,False,0,0
72000,1,793000,7,10285,True,False,False,0,0
65000,1,795000,7,9285,True,False,False,0,0
98000,1,657500,9,10888,True,False,False,0,0
102500,1,665000,8,12812,True,False,False,0,0
168000,1,598000,10,16800,True,False,False,0,0
170000,3,635000,11,15454,True,False,False,0,2
86000,3,585000,12,7166,True,False,False,1,2
230000,1,379950,12,19166,True,False,False,1,7
111500,3,580000,11,10136,True,False,False,1,2
125000,1,629000,9,13888,True,False,False,0,2
180000,0,680000,6,30000,False,False,True,1,1
64000,1,650000,9,7111,True,False,False,1,2
144000,0,748500,7,20571,False,False,True,0,1
56000,2,662500,10,5600,True,False,False,0,0
66500,1,640000,10,6650,True,False,False,0,0
140000,3,530000,11,12727,True,False,False,1,1
278000,1,435000,10,27800,True,False,False,1,3
193000,1,510000,12,16083,True,False,False,0,0
86000,1,655000,8,10750,True,False,False,1,0
90000,1,650000,8,11250,True,False,False,0,1
165000,3,570000,11,15000,True,False,False,1,1
65600,4,660000,6,10933,False,True,False,2,1
89000,1,700000,8,11125,True,False,False,0,0
94750,1,785075,5,18950,True,False,False,0,0
110000,1,719000,7,15714,True,False,False,0,0
119000,1,655000,9,13222,True,False,False,0,0
121500,1,625000,8,15187,True,False,False,0,4
215000,3,450000,12,17916,True,False,False,1,4
117000,1,580000,8,14625,True,False,False,1,2
370000,1,520000,10,37000,True,False,False,1,3
211000,1,500000,12,17583,True,False,False,3,2
220000,3,515000,12,18333,True,False,False,0,0
112000,1,655000,9,12444,True,False,False,0,1
140360,1,575000,8,17545,True,False,False,1,4
127000,1,650000,8,15875,True,False,False,0,0
105000,1,728000,7,15000,True,False,False,0,0
205000,3,297000,11,18636,True,False,False,2,11
88000,3,610000,12,7333,True,False,False,0,1
125000,1,585000,8,15625,True,False,False,0,5
227000,3,488000,11,20636,True,False,False,2,4
164000,1,685000,7,23428,True,False,False,1,3
115000,1,620000,8,14375,True,False,False,1,2
125890,1,380000,8,15736,True,False,False,0,13
63000,0,800000,7,9000,False,False,True,0,0
110000,1,655000,10,11000,True,False,False,0,0
185000,2,439750,12,15416,True,False,False,0,3
