İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,URL,Ağır Hasarlı
26553183,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,125.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,725.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-yeni-kasa-orjinal-tramersiz-stepway-1-5-dci/26553183,
26635791,05 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,370.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,350.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26635791,
26636147,05 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2018,82.570 km,Yarı Otomatik,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,815.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model/26636147,
26637347,05 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,247.600 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,4 boyalı,,Sahibinden,435.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26637347,
26268417,05 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,62.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,800.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dizel-manuel-hatasiz-62-bin-km-karta-taksit/26268417,
26639967,05 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,72.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,793.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-hatasiz-boyasiz-dacia-stepway-hatasiz-boyasiz-72-000-km-de/26639967,
26639299,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,65.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,795.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-model-hatasiz-boyasiz-stepway-15-dci-65-000-km-de/26639299,
26638423,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2015,98.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,657.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2015-dacia-sandero-stepway-1-5dci-boyasiz-hatasiz-98-000km-de/26638423,
26634230,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,102.500 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,665.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/ogretmenden-hatasiz-dacia-sandero-1-5-dci-stepway-2016-model/26634230,
26634156,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,168.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,598.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/boyasiz-tramersiz-168-000km-1-5-dci-stepway-sandero/26634156,
