İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Price,Listing URL,Ağır Hasarlı
Kopyalandı26338753,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,64.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,5 boyalı,Takasa Uygun,Galeriden,596.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-stepway-90-beygir-2016-model-istanbul-64-bin-km-de/26338753,
Kopyalandı26612893,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2015,112.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,655.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-samsun/26612893,
Kopyalandı26602907,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,112.149 km,Düz,Benzin,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,480.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26602907,
Kopyalandı26612497,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,140.360 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Galeriden,575.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-stepway-2016-model-izmir/26612497,
Kopyalandı26601125,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,127.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,650.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26601125,
Kopyalandı26612024,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,105.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,728.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2017-model-adana/26612024,
Kopyalandı26612957,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,86.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,,Sahibinden,655.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26612957,
Kopyalandı26608998,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,121.500 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,625.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-memurdan-2016-dacia-sandero-1-5-dci-stepway-dusuk-km/26608998,
Kopyalandı26612477,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,90.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,650.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model2017-cikisli-yeni-kasa/26612477,
Kopyalandı26608876,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,215.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 4 boyalı",,Sahibinden,450.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26608876,
Kopyalandı26608257,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,117.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,580.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26608257,
Kopyalandı26597268,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,211.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"3 değişen, 2 boyalı",,Sahibinden,500.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26597268,
Kopyalandı26607302,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,370.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",,Sahibinden,520.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26607302,
Kopyalandı26605347,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,220.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,515.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26605347,
Kopyalandı26599768,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,205.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"2 değişen, 11 boyalı",,Sahibinden,330.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26599768,
Kopyalandı26597630,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,88.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,1 boyalı,,Sahibinden,610.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26597630,
Kopyalandı25927820,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,125.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,5 boyalı,Takasa Uygun Değil,Galeriden,585.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/fastcar-dan-2016-dacia-sandero-stepway-1-5dci-125-000km-masrafsiz/25927820,
Kopyalandı26488092,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,79.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,635.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-stepway-ceki-kancali-dusuk-km-li/26488092,
Kopyalandı26594636,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,227.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"2 değişen, 4 boyalı",,Sahibinden,488.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26594636,
Kopyalandı26602874,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,164.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,685.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/avva-otomotiv-den-2017-md-dacia-sandero-1-5-dci-stepway-bakimli/26602874,
Kopyalandı26594126,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,115.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,630.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26594126,
Kopyalandı26601638,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,125.890 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı boyalı,Takasa Uygun Değil,Galeriden,380.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-sandero-stepway-100-000-pesin-36-taksit/26601638,
Kopyalandı26591692,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,63.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,800.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/memurdan-satilik-dacia-sandero-1-5-dci-stepway-2017-model/26591692,
Kopyalandı26599491,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,110.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,655.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2014-model-bursa/26599491,
Kopyalandı26461490,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,185.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,3 boyalı,Takasa Uygun Değil,Galeriden,439.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2012-model-dacia-sandero-1-5dci-stepway-bu-km-de-bu-temizlik-yok/26461490,
Kopyalandı26463536,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2018,119.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,465.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2018-citir-hasarli-dacia-sandero-otomatik-kaput-tavan-bagaj-orjinal/26463536,Evet
Kopyalandı26584320,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,205.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 1 boyalı",,Sahibinden,520.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26584320,
