İlan Tarihi,Kilometre/Yaş,Vites Tipi,Renk,Ort. Yakıt Tüketimi,Kimden,Ağır Hasarlı,Değişen,Boyalı,Fiyat
2,17857,0,7,4.0,0,1,,,21217
1,37000,0,1,4.0,1,1,,,10242
1,13761,2,9,3.8,1,1,0,0,23851
1,20633,0,7,4.5,1,1,0,4,12730
1,8857,0,2,4.0,0,1,0,0,23412
1,10285,0,7,4.0,0,1,0,0,23207
1,9285,0,7,4.0,0,1,0,0,23266
1,10888,0,2,4.0,0,1,0,0,19242
1,12812,0,10,4.0,1,1,0,0,19461
1,16800,0,3,4.0,0,1,0,0,17500
1,15454,0,3,5.0,1,1,0,2,18583
1,7166,0,3,5.0,1,1,,,17120
1,19166,0,2,4.0,0,1,,,11119
1,10136,0,11,5.0,1,1,1,2,16973
1,13888,0,9,4.0,0,1,0,2,18407
1,30000,2,7,3.8,0,1,,,19900
1,7111,0,10,4.0,0,1,1,2,19022
1,20571,2,6,3.8,0,1,,,21905
1,5600,0,1,4.5,0,1,0,0,19388
1,6650,0,5,4.0,1,1,0,0,18729
1,12727,0,9,5.0,1,1,,,15510
1,27800,0,11,4.0,1,1,,,12730
1,16083,0,7,4.0,1,1,0,0,14925
1,10750,0,7,4.0,1,1,1,0,19168
1,11250,0,4,4.0,1,1,0,1,19022
1,15000,0,11,5.0,1,1,1,1,16681
1,10933,1,3,,0,1,2,1,19315
1,11125,0,3,4.0,0,1,0,0,20485
1,18950,0,10,4.0,0,1,,,22975
1,15714,0,3,4.0,0,1,0,0,21041
1,13222,0,7,4.0,0,1,0,0,19168
1,15187,0,3,4.0,1,1,0,4,18290
1,17916,0,2,5.0,1,1,1,4,13169
1,14625,0,5,4.0,1,1,1,2,16973
1,37000,0,7,4.0,1,1,1,3,15218
1,17583,0,2,4.0,1,1,3,2,14632
1,18333,0,2,5.0,1,1,0,0,15071
1,12444,0,1,4.0,0,1,,,19168
1,11214,0,3,4.0,1,1,,,14135
1,17545,0,2,4.0,0,1,1,4,16827
1,15875,0,7,4.0,1,1,0,0,19022
1,15000,0,11,4.0,0,1,0,0,21305
1,18636,0,1,5.0,1,1,2,11,8691
1,7333,0,7,5.0,1,1,0,1,17851
1,15625,0,11,4.0,0,1,0,5,17120
1,20636,0,10,5.0,1,1,2,4,14281
1,23428,0,9,4.0,0,1,1,3,20046
1,14375,0,7,4.0,1,1,1,2,18144
1,15736,0,1,4.0,0,1,0,13,11120
1,9000,2,2,3.8,1,1,,,23412
1,11000,0,4,4.0,0,1,,,19168
