yas,kilometre,ort_yakit_tuketimi,fiyat,kilometre/yas,vites_tipi_duz,vites_tipi_otomatik,vites_tipi_yari_otomatik,degisen,boyali
7,125000,4.0,725000,17857,True,False,False,0,0
10,370000,4.0,350000,37000,True,False,False,1,13
6,82570,3.8,815000,13761,False,False,True,0,0
12,247600,4.5,435000,20633,True,False,False,0,4
7,62000,4.0,800000,8857,True,False,False,0,0
7,72000,4.0,793000,10285,True,False,False,0,0
7,65000,4.0,795000,9285,True,False,False,0,0
9,98000,4.0,657500,10888,True,False,False,0,0
8,102500,4.0,665000,12812,True,False,False,0,0
10,168000,4.0,598000,16800,True,False,False,0,0
11,170000,5.0,635000,15454,True,False,False,0,2
12,86000,5.0,585000,7166,True,False,False,0,1
12,230000,4.0,379950,19166,True,False,False,1,12
11,111500,5.0,580000,10136,True,False,False,1,2
9,125000,4.0,629000,13888,True,False,False,0,2
6,180000,3.8,680000,30000,False,False,True,1,1
9,64000,4.0,650000,7111,True,False,False,1,2
7,144000,3.8,748500,20571,False,False,True,0,1
10,56000,4.5,662500,5600,True,False,False,0,0
10,66500,4.0,640000,6650,True,False,False,0,0
11,140000,5.0,530000,12727,True,False,False,1,3
10,278000,4.0,435000,27800,True,False,False,1,2
12,193000,4.0,510000,16083,True,False,False,0,0
8,86000,4.0,655000,10750,True,False,False,1,0
8,90000,4.0,650000,11250,True,False,False,0,1
11,165000,5.0,570000,15000,True,False,False,1,1
6,65600,3.9,660000,10933,False,True,False,2,1
8,89000,4.0,700000,11125,True,False,False,0,0
5,94750,4.0,785075,18950,True,False,False,0,0
7,110000,4.0,719000,15714,True,False,False,0,0
9,119000,4.0,655000,13222,True,False,False,0,0
8,121500,4.0,625000,15187,True,False,False,0,4
12,215000,5.0,450000,17916,True,False,False,1,4
8,117000,4.0,580000,14625,True,False,False,1,2
10,370000,4.0,520000,37000,True,False,False,1,3
12,211000,4.0,500000,17583,True,False,False,3,2
12,220000,5.0,515000,18333,True,False,False,0,0
9,112000,4.0,655000,12444,True,False,False,0,0
8,140360,4.0,575000,17545,True,False,False,1,4
8,127000,4.0,650000,15875,True,False,False,0,0
7,105000,4.0,728000,15000,True,False,False,0,0
11,205000,5.0,297000,18636,True,False,False,2,11
12,88000,5.0,610000,7333,True,False,False,0,1
8,125000,4.0,585000,15625,True,False,False,0,5
11,227000,5.0,488000,20636,True,False,False,2,4
7,164000,4.0,685000,23428,True,False,False,1,3
8,115000,4.0,620000,14375,True,False,False,1,2
8,125890,4.0,380000,15736,True,False,False,0,13
7,63000,3.8,800000,9000,False,False,True,0,0
10,110000,4.0,655000,11000,True,False,False,0,0
12,185000,4.5,439750,15416,True,False,False,0,3
6,119000,3.8,465000,19833,False,False,True,1,4
11,205000,5.0,520000,18636,True,False,False,1,1
7,69000,4.0,667750,9857,True,False,False,0,0
7,88000,4.0,710000,12571,True,False,False,2,2
11,240000,5.0,468000,21818,True,False,False,0,7
7,150000,4.0,660000,21428,True,False,False,0,0
9,66400,4.0,624950,7377,True,False,False,2,3
7,65000,3.8,741000,9285,False,False,True,0,0
9,170000,4.0,629000,18888,True,False,False,0,3
10,120000,4.0,625000,12000,True,False,False,1,2
8,176527,4.0,638500,22065,True,False,False,2,1
8,62000,4.0,695000,7750,True,False,False,0,0
8,137000,4.0,679000,17125,True,False,False,0,0
11,164000,5.0,560000,14909,True,False,False,0,3
7,166000,4.0,645000,23714,True,False,False,0,0
10,101000,4.0,657500,10100,True,False,False,0,0
8,106000,4.0,675000,13250,True,False,False,0,1
12,311548,4.0,480000,25962,True,False,False,0,0
7,52000,4.0,775000,7428,True,False,False,0,0
7,80000,4.0,765000,11428,True,False,False,0,0
8,30000,4.0,760000,3750,True,False,False,0,0
12,325000,4.0,480000,27083,True,False,False,0,1
7,64000,4.0,760000,9142,True,False,False,0,0
8,132500,4.0,665000,16562,True,False,False,0,1
9,115000,4.0,649500,12777,True,False,False,0,0
9,204000,4.0,585000,22666,True,False,False,2,0
10,263000,5.0,445000,26300,True,False,False,1,2
10,107650,4.0,620000,10765,True,False,False,0,4
13,125000,4.5,560000,9615,True,False,False,0,0
12,130000,5.0,565000,10833,True,False,False,1,0
10,298250,4.0,445000,29825,True,False,False,1,3
6,182000,3.8,700000,30333,False,False,True,0,0
8,146500,5.0,620000,18312,True,False,False,0,2
8,154035,4.0,550000,19254,True,False,False,1,3
7,72000,3.9,747500,10285,False,True,False,0,2
6,165000,4.0,649000,27500,True,False,False,0,2
8,157000,3.8,585000,19625,False,False,True,2,0
8,269000,3.8,605000,33625,False,False,True,0,2
9,180000,5.0,570000,20000,True,False,False,0,0
7,57000,4.0,700000,8142,True,False,False,1,0
13,199850,4.5,455000,15373,True,False,False,1,1
10,170000,4.0,555000,17000,True,False,False,1,4
11,143000,5.0,590000,13000,True,False,False,1,4
8,138000,4.0,602500,17250,True,False,False,1,2
9,217000,4.0,600000,24111,True,False,False,1,3
8,159000,4.0,609950,19875,True,False,False,1,1
7,114000,4.0,645000,16285,True,False,False,0,4
8,210000,4.0,640000,26250,True,False,False,0,0
12,168400,5.0,530000,14033,True,False,False,0,4
7,49000,3.8,790000,7000,False,False,True,0,0
9,183000,4.0,640000,20333,True,False,False,0,1
12,145000,5.0,525000,12083,True,False,False,1,1
7,106000,3.8,850000,15142,False,False,True,0,0
8,85000,4.0,665000,10625,True,False,False,0,4
8,98000,3.9,749750,12250,False,True,False,0,0
7,94000,3.9,789750,13428,False,True,False,0,0
7,117000,3.9,725000,16714,False,True,False,0,0
9,261000,4.0,685000,29000,True,False,False,0,0
12,137000,5.0,549500,11416,True,False,False,1,0
12,150000,5.0,520000,12500,True,False,False,1,1
10,61000,4.0,674900,6100,True,False,False,0,0
12,192100,5.0,550000,16008,True,False,False,0,2
8,147000,3.8,635000,18375,False,False,True,1,2
8,130000,4.0,670000,16250,True,False,False,0,1
7,126000,4.0,715000,18000,True,False,False,0,0
8,249000,4.0,499000,31125,True,False,False,1,4
6,35000,4.0,800000,5833,True,False,False,1,0
12,235000,5.0,525000,19583,True,False,False,0,0
8,78000,3.9,725000,9750,False,True,False,0,2
